first choice: 25 second choice: 33 third choice: 21
first choice: 34 second choice: 34 third choice: 17
first choice: 137 second choice: 45 third choice: 64
first choice: 172 second choice: 56 third choice: 56
first choice: 115 second choice: 20 third choice: 10
first choice: 55 second choice: 24 third choice: 20
first choice: 294 second choice: 49 third choice: 35
first choice: 278 second choice: 68 third choice: 41
first choice: 114 second choice: 19 third choice: 12
first choice: 50 second choice: 30 third choice: 20
first choice: 295 second choice: 53 third choice: 33
first choice: 265 second choice: 68 third choice: 45
first choice: 59 second choice: 23 third choice: 16
first choice: 46 second choice: 45 third choice: 33
first choice: 141 second choice: 40 third choice: 82
first choice: 236 second choice: 90 third choice: 49
first choice: 94 second choice: 12 third choice: 11
first choice: 38 second choice: 19 third choice: 21
first choice: 236 second choice: 55 third choice: 41
first choice: 227 second choice: 52 third choice: 45
first choice: 76 second choice: 14 third choice: 10
first choice: 24 second choice: 15 third choice: 16
first choice: 299 second choice: 50 third choice: 33
first choice: 147 second choice: 38 third choice: 75
first choice: 57 second choice: 24 third choice: 33
first choice: 16 second choice: 17 third choice: 26
first choice: 243 second choice: 43 third choice: 49
first choice: 153 second choice: 48 third choice: 64
first choice: 42 second choice: 17 third choice: 16
first choice: 38 second choice: 20 third choice: 19
first choice: 137 second choice: 45 third choice: 64
first choice: 172 second choice: 56 third choice: 56
first choice: 109 second choice: 17 third choice: 10
first choice: 85 second choice: 24 third choice: 15
first choice: 294 second choice: 49 third choice: 35
first choice: 278 second choice: 68 third choice: 41
first choice: 108 second choice: 20 third choice: 9
first choice: 87 second choice: 25 third choice: 13
first choice: 295 second choice: 53 third choice: 33
first choice: 265 second choice: 68 third choice: 45
first choice: 50 second choice: 14 third choice: 27
first choice: 71 second choice: 33 third choice: 21
first choice: 141 second choice: 40 third choice: 82
first choice: 236 second choice: 90 third choice: 49
first choice: 79 second choice: 31 third choice: 5
first choice: 69 second choice: 20 third choice: 17
first choice: 236 second choice: 55 third choice: 41
first choice: 227 second choice: 52 third choice: 45
first choice: 104 second choice: 14 third choice: 11
first choice: 45 second choice: 9 third choice: 24
first choice: 299 second choice: 50 third choice: 33
first choice: 147 second choice: 38 third choice: 75
first choice: 81 second choice: 19 third choice: 15
first choice: 42 second choice: 16 third choice: 19
first choice: 243 second choice: 43 third choice: 49
first choice: 153 second choice: 48 third choice: 64
