bread,onion,bread,grape_juice,bread
potato_chips,coke,crackers,cereal,coke
crackers,corn,orange,grape_juice,grape_juice
onion,apple,crackers,coke,apple
cereal,orange_juice,corn,jelly,jelly
bread,bread,orange,potato_chips,bread
grape_juice,crackers,potato_chips,jelly,jelly
cereal,orange_juice,onion,bread,bread
orange_juice,grape_juice,corn,jelly,grape_juice
orange,potato_chips,grape_juice,bread,bread
orange_juice,potato_chips,grape_juice,onion,grape_juice
jelly,bread,coke,jelly,jelly
bread,apple,orange_juice,coke,apple
orange,crackers,onion,coke,coke
grape_juice,orange_juice,potato_chips,cereal,orange_juice
orange_juice,potato_chips,cereal,bread,cereal
grape_juice,orange_juice,orange,jelly,orange_juice
potato_chips,coke,potato_chips,onion,potato_chips
coke,crackers,onion,orange_juice,orange_juice
onion,crackers,onion,coke,onion
orange,cereal,orange,corn,orange
jelly,crackers,apple,corn,apple
bread,jelly,orange_juice,onion,jelly
onion,apple,bread,potato_chips,apple
potato_chips,orange_juice,grape_juice,coke,coke
cereal,cereal,bread,corn,cereal
jelly,onion,orange,cereal,cereal
cereal,apple,orange_juice,crackers,crackers
bread,apple,crackers,grape_juice,crackers
jelly,crackers,orange,grape_juice,crackers
apple,grape_juice,orange_juice,corn,corn
apple,apple,onion,corn,apple
apple,coke,corn,grape_juice,corn
orange,jelly,corn,potato_chips,corn
grape_juice,cereal,onion,potato_chips,cereal
potato_chips,orange_juice,onion,orange,orange
orange,corn,coke,potato_chips,corn
grape_juice,crackers,cereal,apple,apple
cereal,potato_chips,onion,orange,potato_chips
grape_juice,apple,orange_juice,crackers,orange_juice
bread,apple,crackers,grape_juice,crackers
crackers,apple,corn,potato_chips,potato_chips
orange_juice,apple,cereal,jelly,jelly
jelly,coke,bread,potato_chips,bread
onion,onion,corn,crackers,onion
crackers,orange_juice,potato_chips,jelly,potato_chips
orange,orange_juice,grape_juice,coke,orange_juice
onion,bread,corn,potato_chips,bread
apple,bread,orange,apple,apple
bread,coke,potato_chips,onion,potato_chips
corn,apple,onion,corn,corn
onion,orange,corn,orange_juice,orange
orange,bread,onion,potato_chips,bread
bread,orange,cereal,grape_juice,cereal
orange,apple,onion,corn,apple
grape_juice,crackers,coke,potato_chips,coke
orange,onion,potato_chips,jelly,onion
cereal,onion,apple,coke,coke
coke,cereal,crackers,corn,cereal
orange_juice,onion,grape_juice,crackers,grape_juice
orange,orange,cereal,grape_juice,orange
grape_juice,grape_juice,jelly,cereal,grape_juice
crackers,onion,corn,cereal,corn
corn,onion,orange,coke,onion
grape_juice,orange,bread,onion,bread
corn,orange_juice,jelly,bread,orange_juice
potato_chips,crackers,orange_juice,jelly,crackers
orange_juice,apple,jelly,crackers,apple
apple,jelly,bread,crackers,bread
bread,onion,orange,corn,onion
potato_chips,coke,crackers,cereal,crackers
onion,jelly,corn,cereal,jelly
bread,orange,crackers,potato_chips,crackers
jelly,onion,bread,grape_juice,grape_juice
corn,coke,potato_chips,grape_juice,potato_chips
cereal,grape_juice,bread,jelly,bread
potato_chips,cereal,potato_chips,corn,potato_chips
apple,orange_juice,coke,bread,orange_juice
cereal,cereal,onion,apple,cereal
apple,jelly,onion,cereal,onion
orange_juice,grape_juice,bread,jelly,grape_juice
jelly,orange,corn,orange_juice,orange_juice
bread,cereal,orange,apple,cereal
crackers,apple,potato_chips,coke,potato_chips
orange,coke,potato_chips,grape_juice,grape_juice
apple,corn,grape_juice,bread,corn
coke,crackers,apple,corn,apple
orange_juice,onion,apple,potato_chips,apple
cereal,cereal,potato_chips,corn,cereal
bread,coke,potato_chips,grape_juice,grape_juice
bread,orange_juice,corn,jelly,jelly
grape_juice,grape_juice,onion,corn,grape_juice
jelly,crackers,potato_chips,jelly,jelly
grape_juice,onion,apple,potato_chips,apple
corn,bread,cereal,orange_juice,cereal
potato_chips,crackers,onion,potato_chips,potato_chips
grape_juice,orange,bread,orange_juice,orange_juice
onion,orange_juice,onion,orange,onion
potato_chips,orange,bread,coke,bread
onion,cereal,crackers,onion,onion
coke,bread,orange,jelly,orange
onion,bread,coke,jelly,jelly
grape_juice,onion,grape_juice,orange_juice,grape_juice
bread,cereal,coke,bread,bread
apple,grape_juice,coke,onion,onion
grape_juice,jelly,coke,cereal,jelly
bread,grape_juice,apple,orange_juice,grape_juice
jelly,coke,cereal,onion,cereal
bread,orange,apple,onion,apple
apple,potato_chips,cereal,bread,cereal
orange_juice,orange_juice,potato_chips,coke,orange_juice
apple,orange_juice,cereal,orange,orange
grape_juice,orange,bread,onion,orange
orange_juice,coke,grape_juice,crackers,crackers
coke,cereal,potato_chips,coke,coke
orange,onion,orange,coke,orange
onion,potato_chips,jelly,bread,bread
orange,coke,crackers,orange_juice,orange_juice
cereal,orange,cereal,bread,cereal
orange_juice,potato_chips,grape_juice,jelly,grape_juice
onion,bread,orange_juice,apple,apple
orange,cereal,orange_juice,onion,onion
orange_juice,crackers,onion,orange_juice,orange_juice
onion,jelly,coke,crackers,jelly
cereal,bread,jelly,apple,bread
corn,grape_juice,onion,corn,corn
orange_juice,coke,crackers,cereal,coke
corn,grape_juice,cereal,potato_chips,grape_juice
cereal,jelly,orange,onion,orange
coke,coke,potato_chips,orange,coke
coke,jelly,orange,onion,jelly
bread,grape_juice,bread,coke,bread
bread,bread,coke,jelly,bread
corn,bread,apple,crackers,apple
apple,potato_chips,grape_juice,onion,onion
corn,bread,coke,jelly,jelly
orange,onion,jelly,corn,onion
potato_chips,apple,jelly,crackers,crackers
jelly,onion,apple,orange_juice,apple
grape_juice,coke,cereal,onion,coke
potato_chips,apple,orange_juice,crackers,crackers
orange,apple,coke,grape_juice,grape_juice
orange_juice,onion,grape_juice,crackers,grape_juice
apple,crackers,onion,orange_juice,onion
cereal,grape_juice,coke,orange,grape_juice
jelly,apple,cereal,corn,cereal
crackers,crackers,apple,corn,crackers
bread,cereal,crackers,corn,cereal
