bread,onion,bread,grape_juice,bread
corn,onion,corn,crackers,corn
potato_chips,coke,crackers,cereal,coke
potato_chips,crackers,orange_juice,jelly,crackers
corn,coke,orange_juice,corn,corn
onion,apple,crackers,coke,apple
potato_chips,potato_chips,jelly,bread,potato_chips
onion,apple,cereal,jelly,apple
cereal,orange_juice,corn,jelly,jelly
grape_juice,crackers,potato_chips,jelly,jelly
cereal,orange_juice,onion,bread,bread
orange_juice,grape_juice,corn,jelly,grape_juice
coke,apple,cereal,coke,coke
grape_juice,onion,jelly,corn,jelly
orange_juice,potato_chips,grape_juice,onion,grape_juice
jelly,bread,coke,jelly,jelly
bread,apple,orange_juice,coke,apple
grape_juice,orange_juice,potato_chips,cereal,orange_juice
orange_juice,potato_chips,cereal,bread,cereal
potato_chips,coke,potato_chips,onion,potato_chips
coke,crackers,onion,orange_juice,orange_juice
onion,crackers,onion,coke,onion
jelly,crackers,apple,corn,apple
bread,cereal,crackers,corn,crackers
bread,jelly,orange_juice,onion,jelly
onion,apple,bread,potato_chips,apple
potato_chips,orange_juice,grape_juice,coke,coke
cereal,cereal,bread,corn,cereal
cereal,apple,orange_juice,crackers,crackers
bread,apple,crackers,grape_juice,crackers
apple,grape_juice,orange_juice,corn,corn
potato_chips,bread,orange_juice,apple,orange_juice
apple,apple,onion,corn,apple
grape_juice,grape_juice,bread,jelly,grape_juice
grape_juice,apple,onion,crackers,apple
apple,coke,corn,grape_juice,corn
bread,jelly,apple,onion,jelly
jelly,orange_juice,potato_chips,bread,orange_juice
grape_juice,onion,jelly,corn,jelly
grape_juice,cereal,onion,potato_chips,cereal
grape_juice,crackers,cereal,apple,apple
apple,crackers,orange_juice,cereal,cereal
apple,orange_juice,potato_chips,onion,orange_juice
onion,coke,bread,apple,apple
orange_juice,grape_juice,jelly,cereal,grape_juice
onion,grape_juice,jelly,cereal,grape_juice
grape_juice,apple,orange_juice,crackers,orange_juice
bread,apple,crackers,grape_juice,crackers
crackers,apple,corn,potato_chips,potato_chips
orange_juice,apple,cereal,jelly,jelly
jelly,coke,bread,potato_chips,bread
onion,onion,corn,crackers,onion
crackers,orange_juice,potato_chips,jelly,potato_chips
onion,bread,corn,potato_chips,bread
bread,coke,potato_chips,onion,potato_chips
corn,apple,onion,corn,corn
