bread,onion,bread,grape_juice,bread
corn,onion,corn,crackers,corn
potato_chips,crackers,orange_juice,jelly,crackers
onion,apple,cereal,jelly,apple
bread,bread,orange,potato_chips,bread
grape_juice,onion,jelly,corn,jelly
orange_juice,potato_chips,grape_juice,onion,grape_juice
jelly,bread,coke,jelly,jelly
bread,apple,orange_juice,coke,apple
orange,crackers,onion,coke,coke
grape_juice,orange_juice,potato_chips,cereal,orange_juice
orange_juice,potato_chips,cereal,bread,cereal
grape_juice,orange_juice,orange,jelly,orange_juice
potato_chips,coke,potato_chips,onion,potato_chips
coke,crackers,onion,orange_juice,orange_juice
onion,crackers,onion,coke,onion
bread,cereal,crackers,corn,crackers
bread,jelly,orange_juice,onion,jelly
onion,apple,bread,potato_chips,apple
potato_chips,orange_juice,grape_juice,coke,coke
cereal,cereal,bread,corn,cereal
jelly,onion,orange,cereal,cereal
jelly,corn,potato_chips,orange,potato_chips
cereal,apple,orange_juice,crackers,crackers
bread,apple,crackers,grape_juice,crackers
jelly,crackers,orange,grape_juice,crackers
apple,grape_juice,orange_juice,corn,corn
grape_juice,grape_juice,bread,jelly,grape_juice
grape_juice,apple,onion,crackers,apple
apple,coke,corn,grape_juice,corn
bread,jelly,apple,onion,jelly
orange_juice,potato_chips,grape_juice,orange,grape_juice
grape_juice,cereal,onion,potato_chips,cereal
potato_chips,orange_juice,onion,orange,orange
orange,corn,coke,potato_chips,corn
grape_juice,crackers,cereal,apple,apple
apple,crackers,orange_juice,cereal,cereal
apple,orange_juice,potato_chips,onion,orange_juice
orange_juice,grape_juice,jelly,cereal,grape_juice
grape_juice,apple,orange_juice,crackers,orange_juice
crackers,apple,corn,potato_chips,potato_chips
orange_juice,apple,cereal,jelly,jelly
jelly,coke,bread,potato_chips,bread
onion,onion,corn,crackers,onion
crackers,orange_juice,potato_chips,jelly,potato_chips
orange,orange_juice,grape_juice,coke,orange_juice
apple,bread,orange,apple,apple
onion,orange,corn,orange_juice,orange
potato_chips,jelly,orange_juice,grape_juice,jelly
bread,orange,cereal,grape_juice,cereal
orange,apple,onion,corn,apple
grape_juice,crackers,coke,potato_chips,coke
orange,onion,potato_chips,jelly,onion
cereal,onion,apple,coke,coke
coke,cereal,crackers,corn,cereal
orange_juice,onion,grape_juice,crackers,grape_juice
